#,Name,Type 1,Type 2,Total Base Stats,HP,Attack,Defense,Special Attack,Special Defense,Speed
1,Bulbasaur,Grass,Poison,318,45,49,49,65,65
2,Ivysaur,Grass,Poison,405,60,62,63,80,80
3,Venusaur,Grass,Poison,525,80,82,83,100,100
4,Charmander,Fire,,309,39,52,43,60,50
5,Charmeleon,Fire,,405,58,64,58,80,65
6,Charizard,Fire,Flying,534,78,84,78,109,85
7,Squirtle,Water,,314,44,48,65,50,64
8,Wartortle,Water,,405,59,63,80,65,80
9,Blastoise,Water,,530,79,83,100,85,105
10,Caterpie,Bug,,195,45,30,35,20,20
11,Metapod,Bug,,205,50,20,55,25,25
12,Butterfree,Bug,Flying,395,60,45,50,90,80
13,Weedle,Bug,Poison,195,40,35,30,20,20
14,Kakuna,Bug,Poison,205,45,25,50,25,25
15,Beedrill,Bug,Poison,395,65,90,40,45,80

